MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m50,Azure,32,8,1M,0,1,stringSearch_firstName,0.474416971206665,0.0007696097532908121,,73.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch_firstName,0.3923695087432861,0.0006365105364057751,,74.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch_firstName,11.452633380889893,0.018578716373443604,,75.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch_firstName,5.806351900100708,0.009419193082385592,,76.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch_firstName,0.5047879219055176,0.0008188781844245063,,77.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch_firstName,11.477076053619385,0.018618367820315892,,78.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch_firstName,5.8628926277160645,0.009510914707183838,,79.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch_firstName,0.4907772541046142,0.0007961497677697074,,80.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch_firstName,11.514853954315186,0.018679651970333524,,81.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch_firstName,5.687822103500366,0.009226911412345037,,82.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch_firstName,0.4478130340576172,0.0007264522552490235,,83.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch_firstName,11.389411211013794,0.01847615596453349,,84.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch_firstName,5.415860891342163,0.008785729890399508,,85.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch_firstName,0.4975109100341797,0.000807073254055447,,86.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch_firstName,11.47432017326355,0.01861389716996087,,87.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch_firstName,5.446781396865845,0.00883588982158237,,88.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch_firstName,0.5268073081970215,0.0008545985221862793,,89.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,stringSearch_firstName,24.61075711250305,0.03992411709361606,,90.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,stringSearch_firstName,11.674972534179688,0.018939399888780382,,91.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,stringSearch_firstName,23.62759613990784,0.038329211515850496,,92.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,stringSearch_firstName,11.312334060668944,0.018351119698418506,,93.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,stringSearch_firstName,23.445063829422,0.0380331035455068,,94.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,stringSearch_firstName,11.15701460838318,0.01809915703137716,,95.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,stringSearch_firstName,23.26524519920349,0.037741397767596774,,96.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,stringSearch_firstName,10.770800352096558,0.01747263168228997,,97.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,stringSearch_firstName,23.057652950286865,0.03740463700824313,,98.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,stringSearch_firstName,10.87507939338684,0.017641795460383098,,99.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,stringSearch_firstName,68.79956245422363,0.11160817909240722,,100.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,stringSearch_firstName,33.81445574760437,0.054854561546113755,,101.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,stringSearch_firstName,74.51201248168945,0.12087504247029622,,102.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,stringSearch_firstName,33.10412573814392,0.05370224841965569,,103.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,stringSearch_firstName,67.39193177223206,0.10932468931939866,,104.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,stringSearch_firstName,34.06389832496643,0.05525921283827887,,105.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,stringSearch_firstName,66.46981024742126,0.10782880329026116,,106.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,stringSearch_firstName,32.998024463653564,0.05353012857437134,,107.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,stringSearch_firstName,66.53683876991272,0.10793753844896951,,108.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,stringSearch_firstName,32.98415446281433,0.05350762835078769,,109.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch_firstName,164.01847672462463,0.2660744177977244,,110.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,stringSearch_firstName,85.67175126075745,0.1389786187118954,,111.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch_firstName,154.4660665988922,0.2505782858159807,,112.0,5.84,0.0016222222222222222,500,32
